-92.875,42.953,Ackley Creek County Park,641.756.3490,IA,Marble Rock
-93.724,41.738,Acorn Valley - Saylorville Lake,515.276.0429,IA,Des Moines
-94.643,41.498,Adair City Park,641.742.3751,IA,Adair
-92.21,43.12,Adolph Munson Park, ,IA,New Hampton
-92.348,43.09,Airport Lake Park, ,IA,New Hampton
-96.556,42.832,Akron City Park, ,IA,Akron
-94.926,41.711,Albert the Bull CG,712.563.3856,IA,Audubon
-92.313,42.88,Alcock Park,319.882.4742,IA,Frederika
-96.005,42.998,Alton Roadside Park, ,IA,Alton
-94.247,43.052,Ambrose Call State Park,515.295.3669,IA,Algona
-93.609,42.026,Ames Bandshell City Park, ,IA,Ames
-95.131,43.366,Arnolds Park City Park,712.332.2341,IA,Arnolds Park
-95.59,41.432,Arrowhead Park,712.485.2295,IA,Neola
-93.289,41.814,Ashton Wildwood Park, ,IA,Baxter
-91.968,40.768,Austin County Park, ,IA,Keosauqua
-91.56,42.616,Backbone State Park,563.924.2527,IA,Dundee
-91.411,42.447,Baileys Ford,563.927.3410,IA,Manchester.
-90.953,42.56,Bankston Park,563.556.6745,IA,Holy Cross
-92.787,42.583,Beaver Meadows Co Park,319.278.4237,IA,Parkersburg
-93.236,42.768,Beeds Lake State Park,641.456.2047,IA,Hampton
-90.423,42.247,Bellevue State Park,563.872.4019,IA,Bellevue
-93.889,42.34,Bells Mills County Park,515.832.9570,IA,Stratford
-92.151,41.386,Belva - Deer Rec Area,641.622.3757,IA,Sigourney
-90.922,41.746,Bennett Park,563.886.6930,IA,Bennett
-91.918,42.162,Benton City  -  Fry Area,319.472.3318,IA,Vinton
-91.852,40.725,Bentonsport,319.293.3589,IA,Bentonsport
-93.386,42.526,Bessman-Kemp Co Park, ,IA,Alden
-91.226,40.952,Big Hollow Creek Park,319.753.8260,IA,Pleasant Grove
-92.434,42.556,Big Woods Lake,319.266.6813,IA,Cedar Falls
-96.326,42.306,Bigelow County Park,712.946.7114,IA,Salix
-92.478,42.563,Black Hawk County Park,319.433.7275,IA,Cedar Falls
-95.017,42.292,Black Hawk State Park,712.657.8712,IA,Lake View
